LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
kveld,nheþ,« Nú vil eg skipta láta liði voru í tvo staði og vil eg kanna láta landið og skal helmingur liðs vera við skála heima en annar helmingur skal kanna landið og fara eigi lengra en þeir komi heim að,kveldi,og skiljist eigi,pre-dat,að,,,,,X,,,,,
ferð,nvfe,En það samdist með því að Kálfur skyldi skyldur,ferða,allra með Kolbeini þeirra er fer Illugi Ásgrímsson,gen,a,,N,N,Abs,,,2,,,
konungur,nkeeg,Honum var leyft að tala af konunginum og talaði um málið langt erindi og forkunnar snjallt það er menn hafa að minnum haft síðan og bað hann Gísl lífs og griða og það kom til svo mikillar nytsemdar að reiði,konungsins,mýktist en þeir menn náðu griðum og sáttum er áður voru nálega til bana ráðnir,pre-gen,til,,,,,X,,,,,
skip,nhfe,Hann var því vanur að fara norður um héruð á vorið og hitta þingmenn sína og ræða um héraðsstjórn og,skipa,málum með mönnum,gen,a,,N,N,Abs,,,1,,,
maður,nkfe,Hafið þér lengi sýnt þeim ójafnað og ætlað að færa þau við útgarða og litið eigi á það hver von væri á um afkvæmi slíkra,manna,sem Eyjólfur var er bæði var ættstór og hinn mesti garpur,gen,na,,Y,Y,N,,,2,,,
vetur,nkfe,Hugðu menn að hann mundi afbragðsmaður verða en hann andaðist sextán,vetra,og er engi saga af honum,gen,a,,,,,PART - 16,,,,,
snorri,nkee-s,Hann var heimamaður,Snorra,þá er hann var í þessum ráðbrotum,gen,a,+PN,Y,Y,Y,,,2,,,
vinur,nkee,« Nú munu hér eigi verða langvistir þínar því að eg ber eigi traust til að halda þig hér og því vildi eg senda þig á fund Helga Ásbjarnarsonar,vinar,míns,pre-gen,til,,Y,N,Abs,,,,,,
sumar,nhfþ,Hann hafði fjárgeymslu á,sumrum,,pre-dat,á,,,,,X,,,,,
skip,nheþ,Og er hann kom suður í landið þar sem konungur var fyrir þá gengur hann upp af,skipi,og leiðir eftir sér dýrið og leigir sér herbergi,pre-dat,af,,,,,X,,,,,
snorri,nkee-s,Vetur þann er Guðmundur biskup var í Hvammi kom norðan í Reykjaholt Kolbeinn ungi Arnórsson og fór bónorðsför og bað Hallberu dóttur,Snorra,og var þá þegar brúðlaup þeirra og fór hún norður þegar með honum,gen,a,+PN,Y,Y,N,,,2,,,
konungur,nkee,Þá bjuggust allir Þrændir og Norðmenn til heimfarar með líki Magnúss,konungs,og raufst leiðangurinn,pre-gen,til,,Y,N,Abs,,,,,,
bær,nkeeg,Hann fer heim til,bæjarins,og er hann var kominn nálega að garði þá sér hann mann ganga í móti sér,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Hinu þriðja skipi réð sá maður er Hermundur hét og var Koðránsson og Þorgils bróðir hans og höfðu mikla sveit,manna,,gen,na,,,,,PART - sveit,,,,,
hús,nheþ,Hið þriðja kveld gaf Kjartan það ráð til að gera skyldi langeld mikinn í eldaskála en máleld skyldi gera í öðru,húsi,,pre-dat,í,,,,,X,,,,,
konungur,nkee,bræðra Inga,konungs,,gen,s,,Y,Y,N,,,2,,,
faðir,nkee,Þorkell og Héðinn vógu Þorgils,föður,Brodd-Helga en Þorsteinn hvíti tók þá enn við búi og fæddi upp Helga sonarson sinn,gen,ur,,Y,Y,N,,,2,,,
land,nhfþ,þá gerði hann menn til hans og boðaði honum af,löndum,og bað hann fara útlægan sem Björn vin hans nema hann komi á konungs fund og leggi allt sitt mál á hans vald,pre-dat,af,,,,,X,,,,,
dagur,nkee,Hann kom þar snemma,dags,og heimti Guðmund á tal við sig,gen,s,,N,N,Abs,,,2,,,
sumar,nheþ,Það var um vorið að blót mikið skyldi vera að,sumri,á Gaulum,pre-dat,að,,,,,X,,,,,
þing,nhee,« Ríð þú þá til,þings,Runólfur og skulu mikið þín orð mega við mig nema til verra dragi um en vera skyldi,pre-gen,til,,,,,X,gov (til),,,,
ferð,nveþ,Tók sá fyrst til orða er kominn var af Raumaríki og segir frá,ferð,Ólafs digra og þeim ófriði er hann gerði bæði í manna aftökum og manna meiðslum,pre-dat,frá,,,,,X,,,,,
faðir,nkee,,föður,Jóru,gen,ur,,Y,Y,N,,,2,,,
ráð,nheþ,Þau Bolli og Guðrún riðu í Tungu að,ráði,Ósvífurs,pre-dat,að,,,,,X,,,,,
land,nheþ,Og er þeir hafa skamma stund þar verið koma tveir menn af,landi,ofan,pre-dat,af,,Y,N,Abs,,,,,,
tíðindi,nhfe,Þeir Grímur hittu menn að máli úti í garðinum og spurðu hvað þar var,tíðinda,,gen,a,,,,,X,gov (verb),,,,
ferð,nvee,Egill bjóst til,ferðar,og þrír menn aðrir hans förunautar,pre-gen,til,,,,,X,gov (til),,,,
bróðir,nkfe,Gengur Gunnar þá á skip þeirra,bræðra,,gen,a,,Y,N,Y,,,2,,,
ferð,nveþ,En hinir sögðu að vísu satt vera og að Hafliði væri á,ferð,kominn með tólf hundruð manna þá er þeir vissu síðast og við þetta nam flokkurinn stað og tóku ráðagerðir með sér hvern upp skyldi taka og í því stóð þá er þeir vissu síðast,pre-dat,á,,,,,X,,,,,
maður,nkfe,Hann var þar sveitarmaður og lét til allra,manna,vel,pre-gen,til,,,,,X,gov (til),,,,
bjarnar,nkee-s,Stóð um ævi,Bjarnar,hans ríki með styrk miklum en engum þurrð,lpn,,+PN,Y,N,Abs,,,,,,
maður,nkfe,» Grettir var í Vatnsfirði nokkura hríð og fór þaðan til Vestfjarða og leitaði til margra göfugra,manna,og bar jafnan eitthvert við það er engi tók við honum,pre-gen,til,,Y,N,Y,,gov (til),,,,
maður,nkfe,Veldur annar áhugi eða nokkur tilfelli af,manna,völdum þá má vera að bætist með yðvarri gift og hamingju,gen,na,,Y,N,Abs,,,,,,
konungur,nkee,þá réð Brúsi það af að fara úr landi austur á fund Ólafs,konungs,og hafði með sér Rögnvald son sinn,gen,s,,,,,,,,,,
vísa,nveþg,Og eigi þótti honum yfirbót í,vísunni,er Björn orti og reið nú um vorið eftir til Bjarnar við sex tigu manna og stefndi honum til alþingis um níðreising og vísu,pre-dat,í,,,,,,,,,,
bjarni,nkee-s,Ganga þeir nú upp á hólinn og berjast um stundar sakar og þykir,Bjarna,maðurinn vígkænn og þykir fastlegra fyrir en hann hugði,gen,na,+PN,,,,,,,,,
hönd,nveþ,Nú leið veturinn af,hendi,og vorið,pre-dat,af,,,,,,,,,,
móðir,nvee,,móður,Jórunnar,gen,ur,,,,,,,,,,
maður,nkeeg,Viljum vér flytja mál,mannsins,,gen,DEF-ins,,,,,,,,,,
eyjólfur,nkee-s,» Þorkell gekk þá aftur til þeirra Flosa og,Eyjólfs,og sagði þeim að þetta voru lög,pre-gen,til,+PN,,,,,,,,,
maður,nkfe,Þeir höfðu og þar fyrir nær fimm tigum,manna,,gen,na,,,,,,,,,,
ráð,nhee,Þorgeir sagðist eigi hirða hversu Gautur léti síga brýnnar en þó var það til,ráðs,tekið að Gautur réðst úr skipinu og fór norður til sveita,pre-gen,til,,,,,,,,,,
maður,nkfe,» Þeir gengu á skip þrír tigir,manna,og sat einn í stafni,gen,na,,,,,,,,,,
bær,nkeeg,Snúa þeir nú heim til,bæjarins,Auðar og kveðst Eyjólfur vilja finna hana,pre-gen,til,,,,,,,,,,
maður,nkeþ,Þykir mér og skömm að þrír gangi að einum,manni,með því að þeirra er eigi óvænna en fjögurra annarra,pre-dat,að,,,,,,,,,,
höfuð,nheþ,Hann gekk að Svertingi og reiddi öxarhamar að,höfði,honum,pre-dat,að,,,,,,,,,,
mál,nhfþ,Og er að þessum,málum,var setið átti Þorgerður svör að veita er hún var ekkja,pre-dat,að,,,,,,,,,,
konungur,nkee,Þá sendi konungur menn sína með bréfum til Magnúss,konungs,og þeirra Erlings,pre-gen,til,,,,,,,,,,
maður,nkeþ,Þar sneri Klaufi að þeim,manni,og spurði hver hann væri,pre-dat,að,,,,,,,,,,
hús,nhee,En þeir bræður riðu til,húss,með fá menn,pre-gen,til,,,,,,,,,,
hönd,nveþ,Og er þau urðu vör við mennina þá ganga þau upp á kleifarnar þar sem þeim þótti best vígið og hefir hvortveggi þeirra kvennanna lurk í,hendi,,pre-dat,í,,,,,,,,,,
konungur,nkee,Ólafur konungur tók þá við haldi Hræreks,konungs,,gen,s,,,,,,,,,,
ráð,nheþ,« Rætt höfum vér frændur um mál þetta vor í millum og munum vér allir hverfa að einu,ráði,,pre-dat,að,,,,,,,,,,
konungur,nkee,Síðan fór Einar á fund Knúts,konungs,og þá af honum stórar gjafar,gen,s,,,,,,,,,,
þorvarður,nkee-s,En treystið lítt á drengskap Þorvarðs því að mér segir eigi mjög hugur um hversu til enda ganga skipti þeirra Þorgils og,Þorvarðs,og ætla eg Þorvarður valdi afbrigðum,pre-gen,til,+PN,,,,,,,,,
land,nheþ,Hún gekk á bylgjum sem á,landi,,pre-dat,á,,,,,,,,,,
mál,nhfe,En það hafði verið nokkura hríð að Brandur hafði léð Einari Þorgilssyni að færa í ær um haustum til skurðar en þá var svo komið að Einar Þorgilsson þóttist eiga,mála,á að hafa meðan hann bjó á Staðarhóli,pre-gen,til,,,,,,,,,,
faðir,nkee,,föður,Þorgerðar,gen,ur,,,,,,,,,,
maður,nkfe,Hann var og um allt atgervismaður og,manna,best vígur og hinn vaskasti í öllu,gen,na,,,,,,,,,,
frændi,nkfe,Bað hún síðan ef hann vildi kaupa hana og hafa heim með sér til,frænda,sinna,pre-gen,til,,,,,,,,,,
ráð,nhfe,Ræddust þeir við hvað þá skal til,ráða,taka,pre-gen,til,,,,,,,,,,
faðir,nkee,Mun hann hafa farar,föður,síns eða annarra höfðingja,gen,ur,,,,,,,,,,
maður,nkfþ,En þó að Álfur væri ójafnaðarmaður og illmenni kallaður af sumum,mönnum,þá skaltu það vita að engi maður í landinu var meir við mitt skap en hann og mér líkari um alla hluti en hann var,pre-dat,af,,,,,,,,,,
þing,nhee,Þeir Sturlu menn og þeir Órækja skildu í Tjaldanesi og reið Sturla til,þings,en þeir Órækja fóru til Stafaholts og dvöldust þar litla hríð áður þeir fóru suður,pre-gen,til,,,,,,,,,,
dagur,nkee,Þótti mér fyrra,dags,ekki mjúkt orð milli ykkar konungs,gen,s,,,,,,,,,,
orð,nhfe,En er Ásgerður kom til rekkjunnar þá tók Þorkell til,orða,,pre-gen,til,,,,,,,,,,
skip,nheþg,Austmennirnir fara frá,skipinu,eftir þetta og fá sér hesta og ætla til vistar sinnar í Skutilsfjörð,pre-dat,frá,,,,,,,,,,
faðir,nkee,,föður,Helgu,gen,ur,,,,,,,,,,
land,nheþg,er hann græfi fyrir öndvegissúlum sínum á,landinu,,pre-dat,á,,,,,,,,,,
konungur,nkee,» Svo kom að Þórir hét ferðinni til,konungs,og bað þá freista ef Eiríkur konungsson vildi fara með honum,pre-gen,til,,,,,,,,,,
þorkell,nkee-s,» Hrólfur hét sonur,Þorkels,Tjörvasonar Þorgeirssonar frá Ljósavatni,gen,s,+PN,,,,,,,,,
hönd,nvfe,Á þetta skal hætta ef þú vilt eigi biðja konunnar mér til,handa,,pre-gen,til,,,,,,,,,,
maður,nkfe,Þeir Guðröður og Jón báknuðu til þeirra Hákonar og létu þá vita hvar flýðu þegar og mundi það vera nær fimmtán hundruð,manna,,pre-gen,til,,,,,,,,,,
faðir,nkee,,föður,Magnúss biskups,gen,ur,,,,,,,,,,
eyvindar,nkee-s,Sighvatur hinn rauði átti Ingibjörgu dóttur,Eyvindar,lamba,gen,ar,+PN,,,,,,,,,
sverð,nheþ,En ekki sá eg hann gera utan hann hnauð hugró á,sverði,sínu,pre-dat,á,,,,,,,,,,
skip,nheþ,» Snorri var að,skipi,nokkurar nætur,pre-dat,að,,,,,,,,,,
maður,nkfe,Þórir spurði húskarl er hann kom heim hvað hann hefði,manna,fundið en hann sagði,gen,na,,,,,,,,,,
sveinn,nkee-s,Hann hjó með handöxi til,Sveins,og veitti honum sár mikið á hendi,pre-gen,til,+PN,,,,,,,,,
tíðindi,nhfe,Spurði þá konungur margra,tíðinda,norðan úr Noregi,gen,a,,,,,,,,,,
hönd,nveþ,» Var þá og verkstjórinn horfinn er henni þótti áður hafa svipu í,hendi,og vilja berja liðið,pre-dat,í,,,,,,,,,,
faðir,nkee,,föður,Ögurs í Kambakistu,gen,ur,,,,,,,,,,
ferð,nveþ,Og í þeirri,ferð,fékk Sigtryggur sótt þá er hann leiddi til bana og er hann jarðaður á ríku munkaklaustri út í Frakklandi,pre-dat,í,,,,,,,,,,
skip,nhee,Og er þeir komu til,skips,tjölduðu þeir eina búð báðir,pre-gen,til,,,,,,,,,,
snorri,nkee-s,son,Snorra,goða,gen,a,+PN,,,,,,,,,
hönd,nveþ,En er þeir taka tal sitt þá segir konungur að hann vill halda allt það af sinni,hendi,sem í sætt hafði komið með þeim Finni,pre-dat,af,,,,,,,,,,
þing,nhee,Hann hafði þá riðið eitt sumar til,þings,en nú ætlaði hann annað,pre-gen,til,,,,,,,,,,
faðir,nkee,,föður,Gísla,gen,ur,,,,,,,,,,
fé,nhee,Og er skipið var algert þá bjó hún skipið og hafði auð,fjár,,gen,r,,,,,,,,,,
mál,nhee,Engi þorði að krefja hann,máls,,gen,s,,,,,,,,,,
hús,nhee,Og er þetta er tíðinda heyra þau mannamál og er Eyjólfur þar kominn við hinn fimmtánda mann og hafa áður komið til,húss,og sjá döggslóðina sem vísað væri til,pre-gen,til,,,,,,,,,,
lið,nheþ,átti hann þing fjölmennt bæði af sínu,liði,og landsmönnum,pre-dat,af,,,,,,,,,,
mál,nheþ,« Þú munt láta oss ná lögum af þessu,máli,,pre-dat,af,,,,,,,,,,
leið,nveþ,Reið Þorkell þegar norður eftir og fann hann í Reykjardal er hann var norðan á,leið,,pre-dat,á,,,,,,,,,,
sonur,nkee,« Allir menn vita hvern harm eg hefi beðið um lát Ljóts,sonar,míns,gen,ar,,,,,,,,,,
skip,nheþ,Ríður Ólafur nú heim í Hjarðarholt en Kjartan er að,skipi,um sumarið,pre-dat,að,,,,,,,,,,
vetur,nkfe,Þá var Sturla átján,vetra,gamall er hann fór upp í Miklagarð og tveir eyfirskir menn komu í ferð hans,gen,a,,,,,,,,,,
maður,nkeþ,Hefi eg og aldrei svo reitt vopn að,manni,að eigi hafi við komið,pre-dat,að,,,,,,,,,,
sveinn,nkeþ-s,Tóku þeir allir bræður sér grið af,Sveini,konungi og settust þeir heima allir bræður um kyrrt,pre-dat,af,+PN,,,,,,,,,
land,nhee,« Ólafur konungur sendi orð vinum sínum hingað til,lands,,pre-gen,til,,,,,,,,,,
konungur,nkeþ,Og vitum vér að þér er skipað hérað þetta af,konungi,og er það erindi hans í dag en margir mæla það að hann eigi ekki í,pre-dat,af,,,,,,,,,,
snorri,nkeþ-s,kvað hann með þeirri mundi á,Snorra,hafa unnið,pre-dat,á,+PN,,,,,,,,,
vetur,nkeþ,En að,vetri,liðnum og vori komnu héldu þeir í hernað með fimm skip og fóru víða um eyjar og útsker og höfðu sigur og gagn hvar er þeir komu,pre-dat,að,,,,,,,,,,
orð,nhfþ,segir að varla þóttist hann mega búi halda ef Helga kona hans kemur eigi heim og biður Áskel nú hlut í eiga og vita ef hún vildi enn láta að hans,orðum,,pre-dat,að,,,,,,,,,,
snorri,nkee-s,Þorgils prestur son,Snorra,lögmanns fékk Þórði Sturlusyni Þórsnesingagoðorð hálft en hálft hafði átt Ari,gen,a,+PN,,,,,,,,,
bak,nheþ,Þórður lét það eftir honum og reiddi hann að,baki,sér,pre-dat,að,,,,,,,,,,
maður,nkfe,Réðust þeir til ferðar bæði Þórólfur og Egill og höfðu með sér þrjá tigu,manna,,gen,na,,,,,,,,,,
maður,nkfe,Narfi þröngdist nú fram millum,manna,þar til að hann kom fyrir konung,gen,na,,,,,,,,,,
snorri,nkee-s,Það er fé,Snorra,bróður þíns,gen,a,+PN,,,,,,,,,
maður,nkfe,» Þorgils spyr hvar það væri eða hvað,manna,væri með honum,gen,na,,,,,,,,,,
hönd,nveþ,Sámur Pálsson kom til hans við þriðja mann og sendi Páll prestur hann til Gissurar að hann skyldi veita að málinu er Þorvaldur faðir hans hafði ónýtt gjöf þá er Einar Þorgilsson hafði gefið Kolfinnu dóttur sinni laungetinni undan systrum sínum er taka áttu en Þorvaldur rauf gjöfina af,hendi,Yngvildar Þorgilsdóttur mágkonu sinnar,pre-dat,af,,,,,,,,,,
vetur,nkfe,Gísla Súrsson og þetta vor eftir er Snorri var sextán,vetra,gamall gerði hann bú að Helgafelli og bjó þar tuttugu og þrjá vetur áður kristni var í lög tekin á Íslandi en þaðan frá bjó hann átta vetur að Helgafelli,gen,a,,,,,,,,,,
bær,nkeþg,Nú þótti bónda eigi vært og fór í burt af,bænum,með allt það sem hann mátti í burt flytja,pre-dat,af,,,,,,,,,,
bjarni,nkee-s,Eg skal þegar á morgun senda mann,Bjarna,bróður mínum og skal hann hafa virðing af,gen,na,+PN,,,,,,,,,
konungur,nkee,Þeir fóru suður til Danmerkur á fund Valdimars,konungs,og þeirra Búriss Heinrekssonar,pre-gen,til,,,,,,,,,,
ráð,nhee,Og var það,ráðs,tekið að ríða suður til Hítardals,gen,s,,,,,,,,,,
kona,nveeg,« Eg kann sjá hversu fara mun ef Þorgilsi er synjað,konunnar,þá mun það margra manna vandræði en eg vænti með vingjöfum góðum að Ásgrímur láti óhappalaust,gen,DEF-nnar,,,,,,,,,,
skip,nheþg,En Lengjuvík þá snúa þeir þar að landi og hljópu af,skipinu,og á land upp,pre-dat,af,,,,,,,,,,
bú,nhee,Síðan fór Kálfur heim til,bús,síns,pre-gen,til,,,,,,,,,,
skip,nhfeg,En er þeir Erlingur heyrðu ópið hljópu þeir til vopna sinna og stefndu síðan ofan til,skipanna,,pre-gen,til,,,,,,,,,,
bú,nheþ,Þórir sat í,búi,sínu og hafði fjölmenni mikið,pre-dat,í,,,,,,,,,,
maður,nkee,Hann spurði að Erlingur Skjálgsson og Jaðarbyggjar með honum lágu í safnaði og höfðu her,manns,,gen,s,,,,,,,,,,
mál,nheþg,« Engi dylur þess en spjöll voru á,málinu,og var rangt til búið,pre-dat,á,,,,,,,,,,
bróðir,nkee,að verja land þitt og far sem fjölmennastur á fund Inga konungs,bróður,þíns sem fyrst máttu og styrki hvor ykkar annan í öllum farsællegum hlutum en almáttigur guð báða ykkur,gen,ur,,,,,,,,,,
fé,nhee,fóru um sumarið í víking í Austurveg en fóru heim að hausti og höfðu aflað,fjár,mikils,gen,r,,,,,,,,,,
maður,nkfeg,leitar fram í milli,mannanna,og hjó hann þegar banahögg og svo hafði konungur ráð til sett,gen,DEF-nna,,,,,,,,,,
skip,nhfe,Fór konungur þá út til sjávar og ræður sér þar til,skipa,,pre-gen,til,,,,,,,,,,
land,nheþg,Ólafur konungur leiddi þá mjög að spurningum um kristnihald hvert þá væri í,landinu,og spurðist honum svo til sem ekki væri kristnihaldið þegar er norður sótti á Hálogaland en þó skorti mikið á að vel væri um Naumudal og inn um Þrándheim,pre-dat,í,,,,,,,,,,
maður,nkfþ,En síðan var leitað um sætt af Úlfi hinum skjálga og sættust að því að líkt var látið víg Rauðs og áverki Þorsteins en fyrirsátin kom í mót þeim,mönnum,er féllu af Halli,pre-dat,í,,,,,,,,,,
hönd,nveþg,Hann rétti höndina þá hina vanmegnu í ljósið og var þá ljósið jafnbjart á,hendinni,sem áður,pre-dat,á,,,,,,,,,,
fé,nhee,« að vantar fjölda,fjár,,gen,r,,,,,,,,,,
mál,nhfþ,Veistu bróðir að Guðmundur biskupsefni hefir ekki mikill vin verið í,málum,vorum Sigurðar,pre-dat,í,,,,,,,,,,
orð,nhfe,Kveð eg yður þeirra,orða,allra er yður skylda lög til um að bera og eg vil yður að dómi beitt hafa og þessu máli eiga að fylgja,gen,a,,,,,,,,,,
skip,nheþ,gengur skjótt frá,skipi,og fær sér hest,pre-dat,frá,,,,,,,,,,
bær,nkeþ,Hann bjó á þeim,bæ,í Fljótsdalshéraði er heitir á Kóreksstöðum fyrir austan Lagarfljót,pre-dat,á,,,,,,,,,,
maður,nkfþ,Oddur Þórarinsson safnar að sér,mönnum,og skipum og ætlar út að Hrana til Grímseyjar,pre-dat,að,,,,,,,,,,
maður,nkee,« en þó mun hér margs,manns,bani af hljótast,gen,s,,,,,,,,,,
konungur,nkee,Geirmundur heljarskinn var sonur Hjörs,konungs,Hálfssonar er Hálfsrekkar eru við kenndir Hjörleifssonar konungs,gen,s,,,,,,,,,,
eyjólfur,nkee-s,sonur,Eyjólfs,Breiðhöfða er Urðamenn eru frá komnir,gen,s,+PN,,,,,,,,,
konungur,nkee,Kjartan gekk til,konungs,með nokkura menn,pre-gen,til,,,,,,,,,,
kona,nvfe,« ef bú þeirra standa þá munu þeir vitja þeirra og,kvenna,sinna og mun þá þar mega veiða á,gen,na,,,,,,,,,,
bóndi,nkee,Hún mun vilja hefna láta Bolla,bónda,síns,gen,a,,,,,,,,,,
skip,nhee,Þórir Akraskeggur kom til,skips,,pre-gen,til,,,,,,,,,,
vetur,nkfþ,Hann var bóndi hraustur og var í hernaði á sumrum en sat um kyrrt á,vetrum,,pre-dat,á,,,,,,,,,,
kveld,nheþ,Er ekki af sagt hans ferð áður hann kemur einn dag að,kveldi,á Goddastaði,pre-dat,að,,,,,,,,,,
bróðir,nkfe,En er sú stund kom er hestum skal etja þá var fram leiddur Brúnninn þeirra,bræðra,og lætur hann ógurlega,gen,a,,,,,,,,,,
skip,nhfe,Konungur lét þá kalla til annarra,skipa,að allir skyldu róa eftir honum,pre-gen,til,,,,,,,,,,
fótur,nkeþ,en Þórólfur varð sár á,fæti,og gekk haltur ávallt síðan,pre-dat,á,,,,,,,,,,
mál,nhfe,sagði að hann mundi öngva uppreist hér fá sinna,mála,,gen,a,,,,,,,,,,
fé,nheþ,Fékk hann og ekki af því,fé,er til höfuðs Gretti var lagið því að Steinn lögsögumaður vildi ei að það gyldist fyrir níðingsverk,pre-dat,af,,,,,,,,,,
bróðir,nkee,En síðan féllu þeir allir á kné og sverja þann eið að hver skal annars hefna sem,bróður,síns og nefna öll goðin í vitni,gen,ur,,,,,,,,,,
nótt,nveþ,Þá gerði myrkt af,nótt,svo að hann sá þá eigi til gera dýrið,pre-dat,af,,,,,,,,,,
fundur,nkeþ,« Veit eg herra um þá menn er mig rægðu við þig af,fundi,okkrum Þórðar,pre-dat,af,,,,,,,,,,
dagur,nkee,Og þeir mágar Hafliði og Hallur Teitsson og nokkurir flokkar með þeim ríða snemma,dags,á þingið og snýr Hafliði til búðar Þorgils og brjóta niður alla til jarðar,gen,s,,,,,,,,,,
vetur,nkfe,« Eg er nú tólf,vetra,,gen,a,,,,,,,,,,
bær,nkee,Bar Lágálfur hann til,bæjar,og fór síðan veg sinn og er hann gekk fram eftir Blönduhlíð kom hann á Frostustaði og sunnan undir húsin og að vindglugginum og sá inn í húsið,pre-gen,til,,,,,,,,,,
eyvindar,nkee-s,Björn var faðir Þrándar og,Eyvindar,,gen,ar,+PN,,,,,,,,,
maður,nkfe,Mart var þar annarra göfugra,manna,,gen,na,,,,,,,,,,
maður,nkfe,Fór Órækja yfir Dýrafjörð með sjö tigi,manna,en Sturla sat í brekkunni ofan frá Söndum með allt sitt lið,gen,na,,,,,,,,,,
bær,nkeþg,« Heima hefi eg verið um hríð á,bænum,og er svo villt fyrir mér að eg veit eigi frá mér en þó munum vér heim ganga að bænum,pre-dat,á,,,,,,,,,,
skip,nhee,Guðmundur var búinn til,skips,með tíundavöru sína,pre-gen,til,,,,,,,,,,
þing,nhee,Fjölmennti Gissur jarl mjög og reið Ásgrímur Þorsteinsson þá til,þings,með honum,pre-gen,til,,,,,,,,,,
maður,nkfe,Síðan mælti Þorvarður og hóf svo málið og bað að guð skyldi geyma hans og allra þeirra,manna,er í þann flokk höfðu ráðist,gen,na,,,,,,,,,,
hönd,nveþ,» Ólafur konungur dró gullhring af,hendi,sér og gaf honum,pre-dat,af,,,,,,,,,,
frændi,nkee,Fyrir Eyvind bróður þinn skulu öngvar bætur koma fyrir því að þú mæltir harðfenglega eftir hinn fyrra frænda þinn og hafið þér nú ærnar bætur eftir Einar,frænda,yðvarn þó að þér hafið haft ríki og fé þessa stund,gen,a,,,,,,,,,,
leið,nveþ,Vér eigum að gjalda Guðmundi tvö hundruð silfurs á,leið,,pre-dat,á,,,,,,,,,,
þing,nhee,Og er þeir koma til,þings,tjalda þeir búð sína og bjuggust um vel og kurteislega,pre-gen,til,,,,,,,,,,
konungur,nkee,Voru það sendimenn Haralds,konungs,með þeim erindum til Sigurðar jarls að konungur vildi drepa láta Björn Brynjólfsson hvar sem hann yrði áhendur og slíkar orðsendingar gerði hann til Suðureyja allt til Dyflinnar,gen,s,,,,,,,,,,
maður,nkfe,Þá entust honum ekki veislurnar sem ákveðið var því að það hafði verið siðvenja að konungar fóru um Upplönd með sex tigu manna eða sjö tigu en aldrei meir en hundrað,manna,,gen,na,,,,,,,,,,
maður,nkfe,Páll var allra,manna,vænstur og gervilegastur en Snorri var lítill maður og vænn og forvitri og skörungur mikill,gen,na,,,,,,,,,,
maður,nkfe,Nú líður fram vetrinum og þegar á bak jólum býr jarl ferð sína og hefir sex tigu,manna,,gen,na,,,,,,,,,,
sigríður,nvee-s,og,Sigríðar,,gen,ar,+PN,,,,,,,,,
kona,nveþg,Er það nú eigi verra en krjúpa að,konunni,og horfa við mér,pre-dat,að,,,,,,,,,,
ráð,nhee,En höfðingjar munu leita annars,ráðs,en þið bræður séuð höggnir hér niður á þinginu báðir,gen,s,,,,,,,,,,
vetur,nkfe,Þá var Hörður tólf,vetra,er hér var komið sögunni,gen,a,,,,,,,,,,
sveinn,nkee-s,fór þá til Fríslands og svo þaðan til Danmerkur á fund,Sveins,konungs frænda síns,pre-gen,til,+PN,,,,,,,,,
maður,nkfe,Er það siður,manna,að fá sér slíka hluti áður sér taka skipun,gen,na,,,,,,,,,,
maður,nkfe,Þá fór hann út á Þótn og Haðaland og rétti þar siðu,manna,og létti svo að þar var alkristið,gen,na,,,,,,,,,,
hús,nheþ,Var eigi þess von að eg mundi hafa afla eða dirfð til að halda hann fyrir þér í næsta,húsi,,pre-dat,í,,,,,,,,,,
orð,nhfe,» Síðan tók Eiríkur son hans til,orða,,pre-gen,til,,,,,,,,,,
bær,nkee,þá er hann mátti sjá til,bæjar,á Ögvaldsnesi og svo fram í Karmtsund,pre-gen,til,,,,,,,,,,
konungur,nkee,» En þá var sem oft er mælt að mörg eru,konungs,eyru,gen,s,,,,,,,,,,
skip,nhee,Reið Snorri goði þaðan suður yfir heiði og gerði það orð á að hann mundi ríða til,skips,í Hraunhafnarós,pre-gen,til,,,,,,,,,,
skip,nhfþg,Jarl lét kenndu niður þá gekk jarl og allt lið hans af,skipunum,og drógu upp svo að óvinir þeirra skyldu eigi mega út draga,pre-dat,af,,,,,,,,,,
fundur,nkeþg,Varð hann og ekki sár og hvorgi þeirra félaga á,fundinum,en þeir voru allir sárir er undan komust,pre-dat,á,,,,,,,,,,
orð,nhee,Og er Þórður sér að lítið nýtti af tillögum alþýðunnar þá tók hann svo til,orðs,,pre-gen,til,,,,,,,,,,
höfuð,nheþ,Hún hafði á,höfði,lambskinnskofra svartan og við innan kattarskinn hvítt,pre-dat,á,,,,,,,,,,
skip,nheþ,« að klappa um kviðinn á konu Bárðar stýrimanns en að gera skyldu þína á,skipi,og slíkt er óþolanda,pre-dat,á,,,,,,,,,,
maður,nkfe,Síðan vill hann hafa fyrir Stafaholtsferð þeirra sex,manna,dóm sem þeir allir samt vilja nefna,gen,na,,,,,,,,,,
